hotel_name,date,ADR,ADR_Competition,Occupancy_%,Occupancy_Competition_%,Rooms_Available,Rooms_Sold,Justification
St Regis Dubai,27/11/2023,1220.1,1096.14,86.4,84.9,230,199,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,28/11/2023,1188.65,1072.5,87.7,88.0,230,202,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,29/11/2023,1221.6,1064.92,77.1,81.3,230,177,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,30/11/2023,1114.5,1088.02,75.3,77.1,230,173,High season driven by tourism and favorable weather conditions. Rate aligned closely with competitive set to maintain market positioning. Occupancy tracking market performance closely.
St Regis Dubai,01/12/2023,1249.02,1099.77,79.6,86.2,230,183,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Softer pickup due to competitive pressure or demand compression.
St Regis Dubai,02/12/2023,1312.88,1184.15,83.4,89.7,230,192,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Softer pickup due to competitive pressure or demand compression.
St Regis Dubai,03/12/2023,1196.08,1062.67,77.4,79.0,230,178,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,04/12/2023,1172.72,1060.89,83.2,80.8,230,191,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,05/12/2023,1152.44,1079.96,81.0,85.5,230,186,High season driven by tourism and favorable weather conditions. Rate aligned closely with competitive set to maintain market positioning. Occupancy tracking market performance closely.
St Regis Dubai,06/12/2023,1111.15,1087.21,78.4,78.4,230,180,High season driven by tourism and favorable weather conditions. Rate aligned closely with competitive set to maintain market positioning. Occupancy tracking market performance closely.
St Regis Dubai,07/12/2023,1246.42,1104.42,79.0,82.4,230,182,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,08/12/2023,1175.32,1084.23,88.7,87.8,230,204,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
St Regis Dubai,09/12/2023,1182.81,1146.3,88.8,90.6,230,204,High season driven by tourism and favorable weather conditions. Rate aligned closely with competitive set to maintain market positioning. Occupancy tracking market performance closely.
St Regis Dubai,10/12/2023,1218.1,1058.68,85.4,86.2,230,196,High season driven by tourism and favorable weather conditions. Premium positioning due to strong brand pull and higher perceived value. Occupancy tracking market performance closely.
